timestamp,device,ip,status,latency_ms,cpu_usage,mem_free
2025-11-18 16:36:22,WiFi Controller,8.8.4.4,UP,25.0,54,131
2025-11-18 16:36:22,Core Router,8.8.8.8,UP,26.0,71,568
2025-11-18 16:36:22,SNMP Demo Router,demo.snmplabs.com,UP,240.0,59,378
2025-11-18 16:36:32,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:36:32,Core Router,8.8.8.8,UP,23.0,60,288
2025-11-18 16:36:32,WiFi Controller,8.8.4.4,UP,23.0,76,215
2025-11-18 16:36:33,SNMP Demo Router,demo.snmplabs.com,UP,240.0,55,349
2025-11-18 16:36:43,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:36:43,WiFi Controller,8.8.4.4,UP,23.0,55,445
2025-11-18 16:36:43,Core Router,8.8.8.8,UP,24.0,49,177
2025-11-18 16:36:43,SNMP Demo Router,demo.snmplabs.com,UP,242.0,49,150
2025-11-18 16:36:53,Lab Switch 1,1.1.1.1,UP,13.0,,
2025-11-18 16:36:53,WiFi Controller,8.8.4.4,UP,22.0,18,377
2025-11-18 16:36:53,Core Router,8.8.8.8,UP,24.0,46,145
2025-11-18 16:36:53,SNMP Demo Router,demo.snmplabs.com,UP,242.0,29,506
2025-11-18 16:37:03,Lab Switch 1,1.1.1.1,UP,10.0,,
2025-11-18 16:37:03,Core Router,8.8.8.8,UP,23.0,52,111
2025-11-18 16:37:03,WiFi Controller,8.8.4.4,UP,23.0,31,475
2025-11-18 16:37:03,SNMP Demo Router,demo.snmplabs.com,UP,240.0,8,410
2025-11-18 16:37:13,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:37:13,Core Router,8.8.8.8,UP,26.0,12,373
2025-11-18 16:37:13,WiFi Controller,8.8.4.4,UP,26.0,35,248
2025-11-18 16:37:14,SNMP Demo Router,demo.snmplabs.com,UP,238.0,56,516
2025-11-18 16:37:24,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:37:24,WiFi Controller,8.8.4.4,UP,24.0,10,237
2025-11-18 16:37:24,Core Router,8.8.8.8,UP,24.0,22,562
2025-11-18 16:37:24,SNMP Demo Router,demo.snmplabs.com,UP,236.0,13,425
2025-11-18 16:37:34,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:37:34,WiFi Controller,8.8.4.4,UP,24.0,20,462
2025-11-18 16:37:34,Core Router,8.8.8.8,UP,24.0,78,351
2025-11-18 16:37:34,SNMP Demo Router,demo.snmplabs.com,UP,240.0,45,138
2025-11-18 16:37:44,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:37:44,Core Router,8.8.8.8,UP,24.0,5,320
278
2025-11-18 16:37:45,SNMP Demo Router,demo.snmplabs.com,UP,241.0,80,506
2025-11-18 16:37:55,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:37:55,WiFi Controller,8.8.4.4,UP,22.0,40,454
2025-11-18 16:37:55,Core Router,8.8.8.8,UP,23.0,46,472
2025-11-18 16:37:55,SNMP Demo Router,demo.snmplabs.com,UP,262.0,20,583
2025-11-18 16:38:05,Lab Switch 1,1.1.1.1,UP,15.0,,
2025-11-18 16:38:05,WiFi Controller,8.8.4.4,UP,25.0,19,263
2025-11-18 16:38:05,SNMP Demo Router,demo.snmplabs.com,UP,238.0,16,631
2025-11-18 16:38:15,Lab Switch 1,1.1.1.1,UP,9.0,,
2025-11-18 16:38:15,WiFi Controller,8.8.4.4,UP,20.0,67,105
2025-11-18 16:38:15,Core Router,8.8.8.8,UP,25.0,68,251
2025-11-18 16:38:15,SNMP Demo Router,demo.snmplabs.com,UP,244.0,57,217
2025-11-18 16:38:25,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:38:25,Core Router,8.8.8.8,UP,23.0,13,303
76
2025-11-18 16:38:26,SNMP Demo Router,demo.snmplabs.com,UP,244.0,9,297
2025-11-18 16:38:36,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:38:36,WiFi Controller,8.8.4.4,UP,23.0,9,668
2025-11-18 16:38:36,Core Router,8.8.8.8,UP,25.0,57,710
2025-11-18 16:38:36,SNMP Demo Router,demo.snmplabs.com,UP,255.0,23,694
2025-11-18 16:38:46,Lab Switch 1,1.1.1.1,UP,10.0,,
2025-11-18 16:38:46,WiFi Controller,8.8.4.4,UP,24.0,42,755
2025-11-18 16:38:46,SNMP Demo Router,demo.snmplabs.com,UP,235.0,57,150
2025-11-18 16:38:56,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:38:56,WiFi Controller,8.8.4.4,UP,24.0,19,383
2025-11-18 16:38:57,SNMP Demo Router,demo.snmplabs.com,UP,247.0,80,244
2025-11-18 16:39:07,Lab Switch 1,1.1.1.1,UP,20.0,,
2025-11-18 16:39:07,WiFi Controller,8.8.4.4,UP,29.0,71,208
2025-11-18 16:39:07,Core Router,8.8.8.8,UP,30.0,36,297
2025-11-18 16:39:07,SNMP Demo Router,demo.snmplabs.com,UP,246.0,7,699
2025-11-18 16:39:17,Lab Switch 1,1.1.1.1,UP,14.0,,
2025-11-18 16:39:17,Core Router,8.8.8.8,UP,27.0,8,585
685
2025-11-18 16:39:17,SNMP Demo Router,demo.snmplabs.com,UP,243.0,54,236
2025-11-18 16:39:27,Lab Switch 1,1.1.1.1,UP,14.0,,
2025-11-18 16:39:27,WiFi Controller,8.8.4.4,UP,25.0,57,392
2025-11-18 16:39:27,SNMP Demo Router,demo.snmplabs.com,UP,238.0,36,234
2025-11-18 16:39:37,Lab Switch 1,1.1.1.1,UP,15.0,,
2025-11-18 16:39:38,WiFi Controller,8.8.4.4,UP,26.0,57,768
2025-11-18 16:39:38,SNMP Demo Router,demo.snmplabs.com,UP,239.0,12,639
2025-11-18 16:39:48,Lab Switch 1,1.1.1.1,UP,10.0,,
2025-11-18 16:39:48,Core Router,8.8.8.8,UP,31.0,7,558
2025-11-18 16:39:48,WiFi Controller,8.8.4.4,UP,31.0,79,274
2025-11-18 16:39:48,SNMP Demo Router,demo.snmplabs.com,UP,238.0,61,593
2025-11-18 16:39:58,Lab Switch 1,1.1.1.1,UP,15.0,,
2025-11-18 16:39:58,WiFi Controller,8.8.4.4,UP,25.0,53,576
2025-11-18 16:39:58,SNMP Demo Router,demo.snmplabs.com,UP,240.0,16,499
2025-11-18 16:40:08,Lab Switch 1,1.1.1.1,UP,13.0,,
2025-11-18 16:40:08,WiFi Controller,8.8.4.4,UP,23.0,35,780
2025-11-18 16:40:09,SNMP Demo Router,demo.snmplabs.com,UP,235.0,71,324
2025-11-18 16:40:19,Lab Switch 1,1.1.1.1,UP,13.0,,
2025-11-18 16:40:19,Core Router,8.8.8.8,UP,24.0,69,489
20
2025-11-18 16:40:19,SNMP Demo Router,demo.snmplabs.com,UP,243.0,45,428
2025-11-18 16:40:29,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:40:29,Core Router,8.8.8.8,UP,23.0,41,617
78
2025-11-18 16:40:29,SNMP Demo Router,demo.snmplabs.com,UP,237.0,63,450
2025-11-18 16:40:39,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:40:39,Core Router,8.8.8.8,UP,28.0,47,518
90
2025-11-18 16:40:39,SNMP Demo Router,demo.snmplabs.com,UP,240.0,40,652
2025-11-18 16:40:49,Lab Switch 1,1.1.1.1,UP,10.0,,
2025-11-18 16:40:49,Core Router,8.8.8.8,UP,24.0,32,261
45
2025-11-18 16:40:50,SNMP Demo Router,demo.snmplabs.com,UP,242.0,70,467
2025-11-18 16:41:00,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:41:00,WiFi Controller,8.8.4.4,UP,23.0,37,556
2025-11-18 16:41:00,Core Router,8.8.8.8,UP,23.0,61,337
2025-11-18 16:41:00,SNMP Demo Router,demo.snmplabs.com,UP,238.0,59,117
2025-11-18 16:41:10,Lab Switch 1,1.1.1.1,UP,13.0,,
2025-11-18 16:41:10,WiFi Controller,8.8.4.4,UP,25.0,57,521
2025-11-18 16:41:10,Core Router,8.8.8.8,UP,25.0,72,705
2025-11-18 16:41:10,SNMP Demo Router,demo.snmplabs.com,UP,243.0,54,410
2025-11-18 16:41:20,Lab Switch 1,1.1.1.1,UP,16.0,,
2025-11-18 16:41:20,WiFi Controller,8.8.4.4,UP,27.0,69,196
2025-11-18 16:41:20,Core Router,8.8.8.8,UP,29.0,42,764
2025-11-18 16:41:21,SNMP Demo Router,demo.snmplabs.com,UP,237.0,79,634
2025-11-18 16:41:31,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:41:31,Core Router,8.8.8.8,UP,26.0,8,367
58
2025-11-18 16:41:31,SNMP Demo Router,demo.snmplabs.com,UP,238.0,31,376
2025-11-18 16:41:41,Lab Switch 1,1.1.1.1,UP,14.0,,
2025-11-18 16:41:41,Core Router,8.8.8.8,UP,24.0,27,740
50
2025-11-18 16:41:41,SNMP Demo Router,demo.snmplabs.com,UP,235.0,34,250
2025-11-18 16:41:51,Lab Switch 1,1.1.1.1,UP,10.0,,
2025-11-18 16:41:51,Core Router,8.8.8.8,UP,24.0,12,769
73
2025-11-18 16:41:51,SNMP Demo Router,demo.snmplabs.com,UP,241.0,22,108
2025-11-18 16:42:01,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:42:01,Core Router,8.8.8.8,UP,24.0,43,103
38
2025-11-18 16:42:02,SNMP Demo Router,demo.snmplabs.com,UP,235.0,18,464
2025-11-18 16:42:12,Lab Switch 1,1.1.1.1,UP,10.0,,
2025-11-18 16:42:12,Core Router,8.8.8.8,UP,23.0,32,513
35
2025-11-18 16:42:12,SNMP Demo Router,demo.snmplabs.com,UP,236.0,31,194
2025-11-18 16:42:22,Lab Switch 1,1.1.1.1,UP,9.0,,
2025-11-18 16:42:22,Core Router,8.8.8.8,UP,22.0,58,288
25
2025-11-18 16:42:22,SNMP Demo Router,demo.snmplabs.com,UP,253.0,40,717
2025-11-18 16:42:32,Lab Switch 1,1.1.1.1,UP,13.0,,
2025-11-18 16:42:32,Core Router,8.8.8.8,UP,24.0,70,158
03
2025-11-18 16:42:33,SNMP Demo Router,demo.snmplabs.com,UP,240.0,45,789
2025-11-18 16:42:43,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:42:43,WiFi Controller,8.8.4.4,UP,24.0,55,219
2025-11-18 16:42:43,SNMP Demo Router,demo.snmplabs.com,UP,235.0,19,118
2025-11-18 16:42:53,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:42:53,WiFi Controller,8.8.4.4,UP,22.0,44,693
2025-11-18 16:42:53,Core Router,8.8.8.8,UP,25.0,50,546
2025-11-18 16:42:53,SNMP Demo Router,demo.snmplabs.com,UP,246.0,19,554
2025-11-18 16:43:03,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:43:03,Core Router,8.8.8.8,UP,24.0,76,782
8
2025-11-18 16:43:03,SNMP Demo Router,demo.snmplabs.com,UP,237.0,80,483
2025-11-18 16:43:13,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:43:13,WiFi Controller,8.8.4.4,UP,23.0,33,298
2025-11-18 16:43:13,Core Router,8.8.8.8,UP,25.0,75,122
2025-11-18 16:43:14,SNMP Demo Router,demo.snmplabs.com,UP,242.0,57,598
2025-11-18 16:43:24,Lab Switch 1,1.1.1.1,UP,15.0,,
2025-11-18 16:43:24,Core Router,8.8.8.8,UP,27.0,79,641
50
2025-11-18 16:43:24,SNMP Demo Router,demo.snmplabs.com,UP,237.0,53,295
2025-11-18 16:43:34,Lab Switch 1,1.1.1.1,UP,15.0,,
2025-11-18 16:43:34,WiFi Controller,8.8.4.4,UP,27.0,56,501
2025-11-18 16:43:34,SNMP Demo Router,demo.snmplabs.com,UP,234.0,67,524
2025-11-18 16:43:44,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:43:44,Core Router,8.8.8.8,UP,25.0,80,310
27
2025-11-18 16:43:44,SNMP Demo Router,demo.snmplabs.com,UP,239.0,48,752
2025-11-18 16:43:54,Lab Switch 1,1.1.1.1,UP,17.0,,
2025-11-18 16:43:55,Core Router,8.8.8.8,UP,30.0,24,327
92
2025-11-18 16:43:55,SNMP Demo Router,demo.snmplabs.com,UP,245.0,57,640
2025-11-18 16:44:05,Lab Switch 1,1.1.1.1,UP,21.0,,
2025-11-18 16:44:05,WiFi Controller,8.8.4.4,UP,34.0,71,663
2025-11-18 16:44:05,SNMP Demo Router,demo.snmplabs.com,UP,249.0,26,357
2025-11-18 16:45:18,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:45:18,Core Router,8.8.8.8,UP,23.0,39,513
88
2025-11-18 16:45:18,SNMP Demo Router,demo.snmplabs.com,UP,238.0,19,120
2025-11-18 16:45:28,Lab Switch 1,1.1.1.1,UP,8.0,,
2025-11-18 16:45:28,WiFi Controller,8.8.4.4,UP,21.0,37,112
2025-11-18 16:45:28,SNMP Demo Router,demo.snmplabs.com,UP,236.0,74,689
2025-11-18 16:45:38,Lab Switch 1,1.1.1.1,UP,9.0,,
2025-11-18 16:45:38,WiFi Controller,8.8.4.4,UP,22.0,73,444
2025-11-18 16:45:39,SNMP Demo Router,demo.snmplabs.com,UP,261.0,23,160
2025-11-18 16:45:49,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:45:49,Core Router,8.8.8.8,UP,24.0,6,357
2025-11-18 16:45:49,WiFi Controller,8.8.4.4,UP,36.0,33,409
2025-11-18 16:45:49,SNMP Demo Router,demo.snmplabs.com,UP,252.0,51,593
2025-11-18 16:45:59,Lab Switch 1,1.1.1.1,UP,20.0,,
2025-11-18 16:45:59,WiFi Controller,8.8.4.4,UP,31.0,51,289
2025-11-18 16:45:59,Core Router,8.8.8.8,UP,32.0,50,536
2025-11-18 16:45:59,SNMP Demo Router,demo.snmplabs.com,UP,243.0,5,539
2025-11-18 16:46:09,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:46:09,WiFi Controller,8.8.4.4,UP,23.0,78,139
2025-11-18 16:46:09,Core Router,8.8.8.8,UP,25.0,47,356
2025-11-18 16:46:09,SNMP Demo Router,demo.snmplabs.com,UP,241.0,39,264
2025-11-18 16:46:19,Lab Switch 1,1.1.1.1,UP,10.0,,
2025-11-18 16:46:19,WiFi Controller,8.8.4.4,UP,22.0,37,364
2025-11-18 16:46:20,SNMP Demo Router,demo.snmplabs.com,UP,238.0,68,795
2025-11-18 16:46:30,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:46:30,WiFi Controller,8.8.4.4,UP,23.0,17,220
2025-11-18 16:46:30,Core Router,8.8.8.8,UP,23.0,45,412
2025-11-18 16:46:30,SNMP Demo Router,demo.snmplabs.com,UP,240.0,9,164
2025-11-18 16:46:40,Lab Switch 1,1.1.1.1,UP,18.0,,
2025-11-18 16:46:40,WiFi Controller,8.8.4.4,UP,30.0,35,639
2025-11-18 16:46:40,Core Router,8.8.8.8,UP,31.0,78,367
2025-11-18 16:46:40,SNMP Demo Router,demo.snmplabs.com,UP,244.0,25,409
2025-11-18 16:46:50,Lab Switch 1,1.1.1.1,UP,13.0,,
2025-11-18 16:46:50,Core Router,8.8.8.8,UP,25.0,6,135
241
2025-11-18 16:46:50,SNMP Demo Router,demo.snmplabs.com,UP,241.0,19,235
2025-11-18 16:47:01,Lab Switch 1,1.1.1.1,UP,20.0,,
2025-11-18 16:47:01,WiFi Controller,8.8.4.4,UP,33.0,59,649
2025-11-18 16:47:01,SNMP Demo Router,demo.snmplabs.com,UP,247.0,70,222
2025-11-18 16:47:11,Lab Switch 1,1.1.1.1,UP,10.0,,
2025-11-18 16:47:11,Core Router,8.8.8.8,UP,23.0,33,501
2025-11-18 16:47:11,WiFi Controller,8.8.4.4,UP,35.0,62,368
2025-11-18 16:47:11,SNMP Demo Router,demo.snmplabs.com,UP,239.0,34,741
2025-11-18 16:47:26,Lab Switch 1,1.1.1.1,UP,11.0,,
2025-11-18 16:47:26,Core Router,8.8.8.8,UP,24.0,28,446
25
2025-11-18 16:47:26,SNMP Demo Router,demo.snmplabs.com,UP,235.0,66,573
2025-11-18 16:47:36,Lab Switch 1,1.1.1.1,UP,10.0,,
2025-11-18 16:47:36,WiFi Controller,8.8.4.4,UP,23.0,30,170
2025-11-18 16:47:36,Core Router,8.8.8.8,UP,24.0,56,417
2025-11-18 16:47:36,SNMP Demo Router,demo.snmplabs.com,UP,238.0,72,105
2025-11-18 16:47:46,Lab Switch 1,1.1.1.1,UP,8.0,,
2025-11-18 16:47:46,Core Router,8.8.8.8,UP,21.0,17,564
53
2025-11-18 16:47:46,SNMP Demo Router,demo.snmplabs.com,UP,240.0,68,589
2025-11-18 16:47:57,Lab Switch 1,1.1.1.1,UP,13.0,,
2025-11-18 16:47:57,WiFi Controller,8.8.4.4,UP,24.0,8,579
2025-11-18 16:47:57,SNMP Demo Router,demo.snmplabs.com,UP,253.0,78,765
2025-11-18 16:48:07,WiFi Controller,8.8.4.4,UP,23.0,22,774
2025-11-18 16:48:07,Core Router,8.8.8.8,UP,25.0,65,584
2025-11-18 16:48:07,SNMP Demo Router,demo.snmplabs.com,UP,236.0,64,163
2025-11-18 16:48:10,Lab Switch 1,1.1.1.1,DOWN,,,
2025-11-18 16:48:21,Lab Switch 1,1.1.1.1,UP,13.0,,
2025-11-18 16:48:21,WiFi Controller,8.8.4.4,UP,25.0,16,375
2025-11-18 16:48:21,SNMP Demo Router,demo.snmplabs.com,UP,242.0,40,601
2025-11-18 16:48:31,Lab Switch 1,1.1.1.1,UP,12.0,,
2025-11-18 16:48:31,Core Router,8.8.8.8,UP,24.0,33,744
30
2025-11-18 16:48:31,SNMP Demo Router,demo.snmplabs.com,UP,241.0,15,794
2025-11-18 16:48:41,Lab Switch 1,1.1.1.1,UP,18.0,,
2025-11-18 16:48:41,Core Router,8.8.8.8,UP,29.0,19,156
56
2025-11-18 16:48:41,SNMP Demo Router,demo.snmplabs.com,UP,245.0,56,162
